estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
svm,bis_quatro__C,bis_quatro,C,1,32,1,0.5625,0.5725490196078431,0.592156862745098,0.6347069597069597,11.0,4.0,10.0,7.0
svm,bis_quatro__C,bis_quatro,C,2,30,1,0.5333333333333333,0.5223214285714286,0.5580357142857143,0.6005159994099302,5.0,9.0,5.0,11.0
svm,bis_quatro__C,bis_quatro,C,3,29,1,0.41379310344827586,0.4261904761904762,0.4952380952380952,0.6240805265195509,1.0,14.0,3.0,11.0
svm,bis_quatro__C,bis_quatro,C,4,28,1,0.39285714285714285,0.39285714285714285,0.37244897959183676,0.638058843532468,10.0,4.0,13.0,1.0
svm,bis_quatro__C,bis_quatro,C,5,28,1,0.4642857142857143,0.46428571428571425,0.26530612244897955,0.6316975864621922,1.0,13.0,2.0,12.0
svm,bis_quatro__C,bis_quatro,C,6,28,1,0.6071428571428571,0.6071428571428571,0.5867346938775511,0.6149391196186431,6.0,8.0,3.0,11.0
svm,bis_quatro__C,bis_quatro,C,7,27,1,0.5555555555555556,0.5384615384615384,0.6593406593406593,0.587018499241982,14.0,0.0,12.0,1.0
svm,bis_quatro__C,bis_quatro,C,8,25,1,0.96,0.9545454545454546,1.0,0.5468222456310942,14.0,0.0,1.0,10.0
svm,bis_quatro__C,bis_quatro,C,9,25,1,0.88,0.8733766233766234,0.9415584415584415,0.559391009192484,13.0,1.0,2.0,9.0
svm,bis_quatro__C,bis_quatro,C,10,24,1,0.5833333333333334,0.6153846153846154,0.7832167832167831,0.5900701365817644,3.0,10.0,0.0,11.0
svm,both_lateral__A,both_lateral,A,1,32,1,0.71875,0.723529411764706,0.8549019607843138,0.6615384615384615,12.0,3.0,6.0,11.0
svm,both_lateral__A,both_lateral,A,2,30,1,0.7,0.6785714285714286,0.9017857142857143,0.6540968642500123,5.0,9.0,0.0,16.0
svm,both_lateral__A,both_lateral,A,3,29,1,0.4482758620689655,0.4452380952380952,0.5285714285714286,0.7332186783406295,8.0,7.0,9.0,5.0
svm,both_lateral__A,both_lateral,A,4,28,1,0.5357142857142857,0.5357142857142857,0.6887755102040816,0.7415269233193227,12.0,2.0,11.0,3.0
svm,both_lateral__A,both_lateral,A,5,28,1,0.42857142857142855,0.42857142857142855,0.326530612244898,0.7094860298206868,12.0,2.0,14.0,0.0
svm,both_lateral__A,both_lateral,A,6,28,1,0.8571428571428571,0.8571428571428572,0.9438775510204082,0.5835385072480932,13.0,1.0,3.0,11.0
svm,both_lateral__A,both_lateral,A,7,27,1,0.5555555555555556,0.5384615384615384,0.3516483516483517,0.6205321432207422,14.0,0.0,12.0,1.0
svm,both_lateral__A,both_lateral,A,8,25,1,0.96,0.9545454545454546,1.0,0.5663911622504929,14.0,0.0,1.0,10.0
svm,both_lateral__A,both_lateral,A,9,25,1,0.92,0.9285714285714286,1.0,0.570359416218747,12.0,2.0,0.0,11.0
svm,both_lateral__A,both_lateral,A,10,24,1,0.5416666666666666,0.520979020979021,0.39160839160839156,0.6358254778561075,10.0,3.0,8.0,3.0
svm,both_lateral__B,both_lateral,B,1,32,1,0.46875,0.4725490196078431,0.43137254901960786,0.47081807081807076,8.0,7.0,10.0,7.0
svm,both_lateral__B,both_lateral,B,2,30,1,0.4,0.3973214285714286,0.3794642857142857,0.4441279398738276,5.0,9.0,9.0,7.0
svm,both_lateral__B,both_lateral,B,3,29,1,0.4482758620689655,0.45,0.37619047619047613,0.42718663450370764,6.0,9.0,7.0,7.0
svm,both_lateral__B,both_lateral,B,4,28,1,0.42857142857142855,0.42857142857142855,0.4744897959183673,0.3872099256387402,8.0,6.0,10.0,4.0
svm,both_lateral__B,both_lateral,B,5,28,1,0.42857142857142855,0.4285714285714286,0.28061224489795916,0.4263908713710189,9.0,5.0,11.0,3.0
svm,both_lateral__B,both_lateral,B,6,28,1,0.2857142857142857,0.2857142857142857,0.25,0.48043645079946834,4.0,10.0,10.0,4.0
svm,both_lateral__B,both_lateral,B,7,27,1,0.48148148148148145,0.48351648351648346,0.4285714285714286,0.45568295383950524,6.0,8.0,6.0,7.0
svm,both_lateral__B,both_lateral,B,8,25,1,0.44,0.4318181818181818,0.525974025974026,0.4292556879057163,7.0,7.0,7.0,4.0
svm,both_lateral__B,both_lateral,B,9,25,1,0.52,0.5227272727272727,0.4935064935064935,0.4570379673896407,7.0,7.0,5.0,6.0
svm,both_lateral__B,both_lateral,B,10,24,1,0.5,0.48951048951048953,0.4195804195804196,0.4740003961501409,8.0,5.0,7.0,4.0
svm,both_lateral__C,both_lateral,C,1,32,1,0.65625,0.6490196078431372,0.7333333333333334,0.6578754578754579,8.0,7.0,4.0,13.0
svm,both_lateral__C,both_lateral,C,2,30,1,0.6666666666666666,0.6428571428571428,0.8169642857142857,0.6512734287833551,4.0,10.0,0.0,16.0
svm,both_lateral__C,both_lateral,C,3,29,1,0.41379310344827586,0.4261904761904762,0.42857142857142855,0.6611274903957831,1.0,14.0,3.0,11.0
svm,both_lateral__C,both_lateral,C,4,28,1,0.6785714285714286,0.6785714285714286,0.8418367346938775,0.6139660585207948,13.0,1.0,8.0,6.0
svm,both_lateral__C,both_lateral,C,5,28,1,0.5,0.5,0.5,0.6626040500118776,0.0,14.0,0.0,14.0
svm,both_lateral__C,both_lateral,C,6,28,1,0.5357142857142857,0.5357142857142857,0.6632653061224489,0.6609067336520541,12.0,2.0,11.0,3.0
